Year,How Many Added,Names Added
1979,55,"['Acadia NP', 'Arches NP', 'Badlands NP', 'Big Bend NP', 'Biscayne NP', 'Black Canyon of the Gunnison NP', 'Bryce Canyon NP', 'Canyonlands NP', 'Capitol Reef NP', 'Carlsbad Caverns NP', 'Channel Islands NP', 'Crater Lake NP', 'Cuyahoga Valley NP', 'Death Valley NP', 'Denali NP & PRES', 'Dry Tortugas NP', 'Everglades NP', 'Gateway Arch NP', 'Glacier Bay NP & PRES', 'Glacier NP', 'Grand Canyon NP', 'Grand Teton NP', 'Great Basin NP', 'Great Sand Dunes NP & PRES', 'Great Smoky Mountains NP', 'Guadalupe Mountains NP', 'Haleakala NP', 'Hawaii Volcanoes NP', 'Hot Springs NP', 'Indiana Dunes NP', 'Isle Royale NP', 'Joshua Tree NP', 'Katmai NP & PRES', 'Kings Canyon NP', 'Lassen Volcanic NP', 'Mammoth Cave NP', 'Mesa Verde NP', 'Mount Rainier NP', 'North Cascades NP', 'Olympic NP', 'Petrified Forest NP', 'Pinnacles NP', 'Redwood NP', 'Rocky Mountain NP', 'Saguaro NP', 'Sequoia NP', 'Shenandoah NP', 'Theodore Roosevelt NP', 'Virgin Islands NP', 'Voyageurs NP', 'White Sands NP', 'Wind Cave NP', 'Yellowstone NP', 'Yosemite NP', 'Zion NP']"
1980,0,[]
1981,0,[]
1982,5,"['Gates of the Arctic NP & PRES', 'Kenai Fjords NP', 'Kobuk Valley NP', 'Lake Clark NP & PRES', 'Wrangell-St. Elias NP & PRES']"
1983,0,[]
1984,1,['New River Gorge NP & PRES']
1985,1,['Congaree NP']
1986,0,[]
1987,0,[]
1988,0,[]
1989,0,[]
1990,0,[]
1991,0,[]
1992,0,[]
1993,0,[]
1994,0,[]
1995,0,[]
1996,0,[]
1997,0,[]
1998,0,[]
1999,0,[]
2000,0,[]
2001,0,[]
2002,1,['National Park of American Samoa']
2003,0,[]
2004,0,[]
2005,0,[]
2006,0,[]
2007,0,[]
2008,0,[]
2009,0,[]
2010,0,[]
2011,0,[]
2012,0,[]
2013,0,[]
2014,0,[]
2015,0,[]
2016,0,[]
2017,0,[]
2018,0,[]
2019,0,[]
2020,0,[]
2021,0,[]
2022,0,[]
2023,0,[]
