Year,RecreationVisits
1979,591646
1980,595734
1981,702873
1982,677014
1983,415118
1984,361139
1985,377152
1986,390553
1987,424846
1988,413527
1989,459171
1990,460718
1991,468926
1992,475937
1993,475160
1994,505349
1995,460699
1996,436081
1997,393265
1998,448286
1999,431311
2000,431813
2001,446609
2002,471551
2003,490295
2004,474589
2005,493198
2006,435359
2007,456588
2008,516804
2009,586928
2010,623748
2011,563407
2012,640555
2013,545090
2014,559580
2015,580033
2016,753880
2017,708003
2018,749389
2019,691658
2020,551303
2021,796085
2022,668679
2023,746862
